# script: ch04_initialisation_ablation.py
# seeds: 42, 7, 123, 2024, 5
# arms: random, sir, whitened, more starts, whitened+sir+starts
# n_restarts: 5
# max_iter: 150
part,seed,config,model,nonlinearity,noise,rho,n,p,d,arm,angle,delta_m,dcor2_u,restart_spread,seconds
grid,42,abs_s2.0_r0.5,,abs,2.0,0.5,200,20,1,more starts,63.0504,0.891405,0.089943,0.0663,0.512
grid,42,abs_s2.0_r0.5,,abs,2.0,0.5,200,20,1,whitened+sir+starts,62.8913,0.890144,0.089954,0.052519,0.448
grid,42,cubic_s0.0_r0.0,,cubic,0.0,0.0,200,20,1,random,6.9486,0.120979,0.802703,0.000156,0.098
grid,42,cubic_s0.0_r0.0,,cubic,0.0,0.0,200,20,1,sir,6.8923,0.120004,0.802708,0.000161,0.088
grid,42,cubic_s0.0_r0.0,,cubic,0.0,0.0,200,20,1,whitened,6.8916,0.119991,0.802702,9e-05,0.097
grid,42,cubic_s0.0_r0.0,,cubic,0.0,0.0,200,20,1,more starts,6.8548,0.119354,0.802711,0.000379,0.516
grid,42,cubic_s0.0_r0.0,,cubic,0.0,0.0,200,20,1,whitened+sir+starts,6.9112,0.120331,0.802711,0.000884,0.494
grid,42,cubic_s0.5_r0.0,,cubic,0.5,0.0,200,20,1,random,7.4228,0.129191,0.735836,0.000156,0.098
grid,42,cubic_s0.5_r0.0,,cubic,0.5,0.0,200,20,1,sir,7.4739,0.130075,0.735836,0.000156,0.09
grid,42,cubic_s0.5_r0.0,,cubic,0.5,0.0,200,20,1,whitened,7.4835,0.130241,0.735839,3.1e-05,0.1
grid,42,cubic_s0.5_r0.0,,cubic,0.5,0.0,200,20,1,more starts,7.4381,0.129456,0.735841,0.007713,0.475
grid,42,cubic_s0.5_r0.0,,cubic,0.5,0.0,200,20,1,whitened+sir+starts,7.4496,0.129654,0.735842,0.013615,0.469
grid,42,cubic_s1.0_r0.0,,cubic,1.0,0.0,200,20,1,random,10.7226,0.186055,0.58962,0.000759,0.091
grid,42,cubic_s1.0_r0.0,,cubic,1.0,0.0,200,20,1,sir,10.7226,0.186055,0.58962,0.000434,0.084
grid,42,cubic_s1.0_r0.0,,cubic,1.0,0.0,200,20,1,whitened,10.7174,0.185966,0.589627,0.000208,0.096
grid,42,cubic_s1.0_r0.0,,cubic,1.0,0.0,200,20,1,more starts,10.7285,0.186156,0.589625,0.001252,0.464
grid,42,cubic_s1.0_r0.0,,cubic,1.0,0.0,200,20,1,whitened+sir+starts,10.7428,0.1864,0.589628,0.003132,0.461
grid,42,cubic_s2.0_r0.0,,cubic,2.0,0.0,200,20,1,random,19.0705,0.326731,0.35567,0.000295,0.092
grid,42,cubic_s2.0_r0.0,,cubic,2.0,0.0,200,20,1,sir,19.2011,0.328885,0.35566,0.000285,0.08
grid,42,cubic_s2.0_r0.0,,cubic,2.0,0.0,200,20,1,whitened,18.8036,0.322325,0.355644,0.000483,0.085
grid,42,cubic_s2.0_r0.0,,cubic,2.0,0.0,200,20,1,more starts,19.049,0.326377,0.355672,0.000319,0.474
grid,42,cubic_s2.0_r0.0,,cubic,2.0,0.0,200,20,1,whitened+sir+starts,18.8902,0.323756,0.355678,0.000999,0.448
grid,42,cubic_s0.0_r0.5,,cubic,0.0,0.5,200,20,1,random,9.637,0.167406,0.802712,2.7e-05,0.11
grid,42,cubic_s0.0_r0.5,,cubic,0.0,0.5,200,20,1,sir,9.637,0.167406,0.802712,0.000115,0.088
grid,42,cubic_s0.0_r0.5,,cubic,0.0,0.5,200,20,1,whitened,9.4982,0.165017,0.8027,0.000223,0.093
grid,42,cubic_s0.0_r0.5,,cubic,0.0,0.5,200,20,1,more starts,9.637,0.167406,0.802712,0.000176,0.532
grid,42,cubic_s0.0_r0.5,,cubic,0.0,0.5,200,20,1,whitened+sir+starts,9.5312,0.165584,0.80271,0.000233,0.482
grid,42,cubic_s0.5_r0.5,,cubic,0.5,0.5,200,20,1,random,10.1879,0.176876,0.73584,7.2e-05,0.104
grid,42,cubic_s0.5_r0.5,,cubic,0.5,0.5,200,20,1,sir,10.1879,0.176876,0.73584,0.00291,0.087
grid,42,cubic_s0.5_r0.5,,cubic,0.5,0.5,200,20,1,whitened,10.0888,0.175174,0.735836,0.000202,0.1
grid,42,cubic_s0.5_r0.5,,cubic,0.5,0.5,200,20,1,more starts,10.2348,0.177683,0.735842,0.001113,0.518
grid,42,cubic_s0.5_r0.5,,cubic,0.5,0.5,200,20,1,whitened+sir+starts,10.1201,0.175713,0.735842,0.000287,0.483
grid,42,cubic_s1.0_r0.5,,cubic,1.0,0.5,200,20,1,random,14.1292,0.244109,0.589624,3.5e-05,0.106
grid,42,cubic_s1.0_r0.5,,cubic,1.0,0.5,200,20,1,sir,14.1292,0.244109,0.589624,0.000101,0.085
grid,42,cubic_s1.0_r0.5,,cubic,1.0,0.5,200,20,1,whitened,14.0938,0.24351,0.589624,0.000174,0.102
grid,42,cubic_s1.0_r0.5,,cubic,1.0,0.5,200,20,1,more starts,14.0442,0.24267,0.589624,0.002538,0.501
grid,42,cubic_s1.0_r0.5,,cubic,1.0,0.5,200,20,1,whitened+sir+starts,13.9914,0.241776,0.589625,0.007406,0.475
grid,42,cubic_s2.0_r0.5,,cubic,2.0,0.5,200,20,1,random,23.988,0.406545,0.355652,0.00023,0.093
grid,42,cubic_s2.0_r0.5,,cubic,2.0,0.5,200,20,1,sir,23.988,0.406545,0.355652,0.00023,0.083
grid,42,cubic_s2.0_r0.5,,cubic,2.0,0.5,200,20,1,whitened,23.968,0.406227,0.355668,0.00055,0.09
grid,42,cubic_s2.0_r0.5,,cubic,2.0,0.5,200,20,1,more starts,23.9457,0.40587,0.355679,0.000686,0.452
grid,42,cubic_s2.0_r0.5,,cubic,2.0,0.5,200,20,1,whitened+sir+starts,23.907,0.405253,0.355682,0.000565,0.438
grid,42,tanh_s0.0_r0.0,,tanh,0.0,0.0,200,20,1,random,5.4684,0.095296,0.936958,0.000167,0.097
grid,42,tanh_s0.0_r0.0,,tanh,0.0,0.0,200,20,1,sir,5.4684,0.095296,0.936958,0.000218,0.08
grid,42,tanh_s0.0_r0.0,,tanh,0.0,0.0,200,20,1,whitened,5.5998,0.09758,0.936967,0.001497,0.101
grid,42,tanh_s0.0_r0.0,,tanh,0.0,0.0,200,20,1,more starts,5.5192,0.096179,0.93697,0.000744,0.52
grid,42,tanh_s0.0_r0.0,,tanh,0.0,0.0,200,20,1,whitened+sir+starts,5.5322,0.096405,0.936969,0.001893,0.481
grid,42,tanh_s0.5_r0.0,,tanh,0.5,0.0,200,20,1,random,10.1145,0.175615,0.671988,0.000151,0.098
grid,42,tanh_s0.5_r0.0,,tanh,0.5,0.0,200,20,1,sir,10.1358,0.175981,0.671977,0.00014,0.092
grid,42,tanh_s0.5_r0.0,,tanh,0.5,0.0,200,20,1,whitened,10.0826,0.175068,0.671982,0.000433,0.098
grid,42,tanh_s0.5_r0.0,,tanh,0.5,0.0,200,20,1,more starts,10.1145,0.175615,0.671988,0.014971,0.48
grid,42,tanh_s0.5_r0.0,,tanh,0.5,0.0,200,20,1,whitened+sir+starts,10.127,0.175831,0.671989,0.003645,0.496
grid,42,tanh_s1.0_r0.0,,tanh,1.0,0.0,200,20,1,random,14.5145,0.250624,0.366399,0.002345,0.097
grid,42,tanh_s1.0_r0.0,,tanh,1.0,0.0,200,20,1,sir,14.5145,0.250624,0.366399,0.000107,0.09
grid,42,tanh_s1.0_r0.0,,tanh,1.0,0.0,200,20,1,whitened,14.6044,0.252144,0.366394,0.000289,0.096
grid,42,tanh_s1.0_r0.0,,tanh,1.0,0.0,200,20,1,more starts,14.5145,0.250624,0.366399,0.002345,0.482
grid,42,tanh_s1.0_r0.0,,tanh,1.0,0.0,200,20,1,whitened+sir+starts,14.5249,0.2508,0.366402,0.001118,0.466
grid,42,tanh_s2.0_r0.0,,tanh,2.0,0.0,200,20,1,random,34.374,0.564592,0.143433,0.00019,0.102
grid,42,tanh_s2.0_r0.0,,tanh,2.0,0.0,200,20,1,sir,34.374,0.564592,0.143433,0.000126,0.107
grid,42,tanh_s2.0_r0.0,,tanh,2.0,0.0,200,20,1,whitened,34.3582,0.564366,0.143415,0.000218,0.11
grid,42,tanh_s2.0_r0.0,,tanh,2.0,0.0,200,20,1,more starts,34.442,0.565571,0.143436,0.000781,0.487
grid,42,tanh_s2.0_r0.0,,tanh,2.0,0.0,200,20,1,whitened+sir+starts,34.2715,0.563116,0.143419,0.002151,0.464
grid,42,tanh_s0.0_r0.5,,tanh,0.0,0.5,200,20,1,random,7.7731,0.135251,0.936967,0.000577,0.105
grid,42,tanh_s0.0_r0.5,,tanh,0.0,0.5,200,20,1,sir,7.8357,0.136334,0.936967,0.000576,0.083
grid,42,tanh_s0.0_r0.5,,tanh,0.0,0.5,200,20,1,whitened,7.832,0.136269,0.936966,0.000343,0.094
grid,42,tanh_s0.0_r0.5,,tanh,0.0,0.5,200,20,1,more starts,7.8156,0.135985,0.93697,0.002754,0.517
grid,42,tanh_s0.0_r0.5,,tanh,0.0,0.5,200,20,1,whitened+sir+starts,7.8131,0.135941,0.93697,0.000347,0.472
grid,42,tanh_s0.5_r0.5,,tanh,0.5,0.5,200,20,1,random,13.3879,0.231543,0.67199,6.1e-05,0.108
grid,42,tanh_s0.5_r0.5,,tanh,0.5,0.5,200,20,1,sir,13.3879,0.231543,0.67199,5.2e-05,0.105
grid,42,tanh_s0.5_r0.5,,tanh,0.5,0.5,200,20,1,whitened,13.4918,0.233306,0.671975,0.001502,0.09
grid,42,tanh_s0.5_r0.5,,tanh,0.5,0.5,200,20,1,more starts,13.359,0.231053,0.671991,0.001392,0.519
grid,42,tanh_s0.5_r0.5,,tanh,0.5,0.5,200,20,1,whitened+sir+starts,13.3077,0.230181,0.671991,0.001518,0.48
grid,42,tanh_s1.0_r0.5,,tanh,1.0,0.5,200,20,1,random,18.1086,0.310818,0.366395,0.004254,0.09
grid,42,tanh_s1.0_r0.5,,tanh,1.0,0.5,200,20,1,sir,18.1086,0.310818,0.366395,0.000132,0.097
grid,42,tanh_s1.0_r0.5,,tanh,1.0,0.5,200,20,1,whitened,17.896,0.30729,0.366395,5.7e-05,0.099
grid,42,tanh_s1.0_r0.5,,tanh,1.0,0.5,200,20,1,more starts,18.1086,0.310818,0.366395,0.004254,0.476
grid,42,tanh_s1.0_r0.5,,tanh,1.0,0.5,200,20,1,whitened+sir+starts,17.896,0.30729,0.366395,0.000979,0.472
grid,42,tanh_s2.0_r0.5,,tanh,2.0,0.5,200,20,1,random,41.6996,0.665225,0.143406,0.001665,0.092
grid,42,tanh_s2.0_r0.5,,tanh,2.0,0.5,200,20,1,sir,41.6996,0.665225,0.143406,0.001665,0.094
grid,42,tanh_s2.0_r0.5,,tanh,2.0,0.5,200,20,1,whitened,41.7324,0.665652,0.143388,0.000732,0.083
