# script: ch06_full_grid.py
# seeds: 0
maturity,d,cp,anchor,method,DM,p,mspe_anchor,mspe_method
2,2,False,PCA+poly(LN-winner),SIR+linear,-0.9259574731734973,0.35446808130658347,3.6158848744850665,3.940706244040085
2,2,False,PCA+poly(LN-winner),SIR+poly,-1.261673244459029,0.20706638826998125,3.6158848744850665,4.1350548984402
2,2,True,PCA+poly(LN-winner),DcorSDR(joint0.0)+linear,-0.7568876774321988,0.44911715850172707,2.3846838360019738,2.5549969855425827
2,2,True,PCA+poly(LN-winner),DcorSDR(joint0.0)+poly,-0.7565950055377111,0.4492925344743546,2.3846838360019738,2.556587452800433
2,2,True,PCA+poly(LN-winner),DcorSDR(joint0.5)+linear,-0.9376194228643281,0.3484400261935794,2.3846838360019738,2.5748523896994566
2,2,True,PCA+poly(LN-winner),DcorSDR(joint0.5)+poly,-1.0654613806920743,0.2866671929937894,2.3846838360019738,2.6147660048003964
2,2,True,PCA+poly(LN-winner),DcorSDR(seqX)+linear,-1.1788515237930663,0.23845730358582795,2.3846838360019738,2.5753516675172996
2,2,True,PCA+poly(LN-winner),DcorSDR(seqX)+poly,-0.9301433796190791,0.3522968530516486,2.3846838360019738,2.5403873607380936
2,2,True,PCA+poly(LN-winner),DcorSDR(seqY)+linear,-1.5498703715539368,0.12117263229048003,2.3846838360019738,2.603783911345035
2,2,True,PCA+poly(LN-winner),DcorSDR(seqY)+poly,-1.293429305929977,0.19586261976261654,2.3846838360019738,2.567845297440456
2,2,True,PCA+poly(LN-winner),"DvarSDR(joi,plain)+linear",-2.1553906398083456,0.0311312782155595,2.3846838360019738,2.8243256146170737
2,2,True,PCA+poly(LN-winner),"DvarSDR(joi,plain)+poly",-1.6018113936781802,0.1091973227749139,2.3846838360019738,2.6407701804245747
2,2,True,PCA+poly(LN-winner),"DvarSDR(joi,robust)+linear",-1.602936421681819,0.10894869152706388,2.3846838360019738,2.801927073463158
