# script: ch05_single_direction_grid.py
# seeds: 42, 7, 123, 2024, 5
# n_starts: 20
# max_iter: 300
# n_rand: 20
# index_fun: plain
seed,n,p,sigma,dist,angle_deg,MSS_dVar,MSS_PCA,MSS_FastICA,MSS_random,dvar_obj,dvar_random_mean,restart_spread,beats_PCA,beats_FastICA,beats_random
42,200,5,4.0,t3,3.17353108824068,0.0030647572482845886,0.0022780670756095134,0.0022780670756097354,0.7023069650912783,2.1258136548443294,1.0346805729147537,0.0012360072928023769,False,False,True
42,200,20,4.0,t3,7.100239439188956,0.015278350209467662,0.008334030437262219,0.008334030437262885,0.9478685747540887,2.118743114554553,0.8085611766473433,0.0015714106492561442,False,False,True
42,200,50,4.0,t3,10.308167017952334,0.032020403133451,0.012407214305245828,0.012407214305244718,0.9830864855382921,2.228741967482809,0.7176293494725863,0.011550500104383854,False,False,True
42,200,5,0.5,uniform,72.83615525263427,0.9129129305986025,0.8981459509442639,0.898145950944265,0.7507538549028627,0.7174741580600402,0.649977708763205,0.008936053576637848,False,False,False
42,200,20,0.5,uniform,83.32269310335148,0.9864795747411967,0.9860148272371867,0.9860148272371865,0.9471505209159649,0.8767850591823789,0.6395661836524951,0.020753332249529022,False,False,False
42,200,50,0.5,uniform,87.98858551117284,0.998768088624716,0.9662665577966916,0.9662665577966872,0.988374423609837,1.0368899062880224,0.6432465684359466,0.061677656639966605,False,False,False
42,200,5,1.0,uniform,8.171012787396068,0.020200415458321186,0.032275600518338776,0.03227560051833944,0.7507538549028627,0.8787905663907214,0.6938015336239328,0.00012812759639135862,True,True,True
42,200,20,1.0,uniform,22.557691494547164,0.1471593162686209,0.09092325697307169,0.09092325697307047,0.9471505209159649,1.0162771911635722,0.6547073397396062,0.0004834634159736062,False,False,True
42,200,50,1.0,uniform,43.17449801484743,0.4681605374171892,0.3164958451734764,0.3164958451734764,0.988374423609837,1.0930790195425515,0.6469437102984007,0.1177705894671015,False,False,True
42,200,5,2.0,uniform,2.2739478893645453,0.001574300800036288,0.0015652174039053612,0.001565217403904029,0.7507538549028627,1.5167688832114594,0.8351905600341567,8.380665242335716e-05,False,False,True
42,200,20,2.0,uniform,11.90536136847412,0.042557935245077005,0.01728497147524055,0.017284971475242772,0.9471505209159649,1.6041560456722654,0.706877582793189,0.0022965070135245735,False,False,True
42,200,50,2.0,uniform,15.607395414959003,0.07238474816417184,0.04999162769373189,0.049991627693731,0.988374423609837,1.5942434141495563,0.6633023982499369,0.6188376832967563,False,False,True
42,200,5,4.0,uniform,0.6768732416560639,0.00013955622809369572,0.00020393114215155883,0.0002039311421508927,0.7507538549028627,2.9372279734012587,1.2202187355858551,0.00010895402255517439,True,True,True
42,200,20,4.0,uniform,5.690381950968006,0.009831260242737838,0.0043223707400573685,0.0043223707400569245,0.9471505209159649,2.994927537643521,0.8757831537280044,0.0003075236611835841,False,False,True
42,200,50,4.0,uniform,7.545920239580726,0.01724514016639067,0.010509480812733618,0.010509480812732508,0.988374423609837,2.9722750700846,0.7282438922483316,0.004870267573276799,False,False,True
42,200,5,0.5,skewed,39.54427499770028,0.4053541629417783,0.5392604307557578,0.5392604307557691,0.8107775285870511,0.7453758265914964,0.6566566512343788,0.03418260435208631,True,True,True
