# script: ch04_joint_and_penalty.py
# seeds: 42, 7, 123, 2024, 5
# n_restarts: 5
# joint_restarts: 20
# max_iter: 150
# lambdas: 0.0, 0.1, 0.5, 1.0, 2.0
seed,config,n,p,k,nonlinearity,noise,strategy,lam,mean_angle,inter_dcor,obj,restart_spread,time
123,k2_p5_product,200,5,2,product,0.0,sequential,0.0,4.313104791523552,0.05224030109101925,nan,nan,0.14653873443603516
123,k2_p5_product,200,5,2,product,0.0,joint,0.0,3.7532742801312313,0.0005450407095411083,0.30525953478878265,0.21796188924564358,1.132910966873169
123,k2_p5_product,200,5,2,product,0.0,joint,0.1,3.7558015134242133,0.0003114918513987407,0.30515171898333354,0.21780246396504457,2.7809221744537354
123,k2_p5_product,200,5,2,product,0.0,joint,0.5,3.7848546417507913,0.00034332678558768656,0.3050551636129454,0.2216684083162273,2.614433765411377
123,k2_p5_product,200,5,2,product,0.0,joint,1.0,4.011324656287687,0.0,0.304682279763174,0.22333015191711342,2.642857551574707
123,k2_p5_product,200,5,2,product,0.0,joint,2.0,3.79940786853194,0.0,0.3050302823633432,0.22641414128627452,2.9793763160705566
123,k2_p5_sumSq,200,5,2,sum_squares,0.0,sequential,0.0,6.241985228424812,0.03318850970573116,nan,nan,0.15815114974975586
123,k2_p5_sumSq,200,5,2,sum_squares,0.0,joint,0.0,5.87805420861067,0.005537387672423287,0.3242069392521161,0.046338335865170444,1.0166184902191162
123,k2_p5_sumSq,200,5,2,sum_squares,0.0,joint,0.1,5.796198587263464,0.005348559458954037,0.3236873539928664,0.04613946097120647,2.490928888320923
123,k2_p5_sumSq,200,5,2,sum_squares,0.0,joint,0.5,5.593934107226378,0.004618009143732521,0.3217404512171354,0.045132867917746455,2.5164318084716797
123,k2_p5_sumSq,200,5,2,sum_squares,0.0,joint,1.0,5.544340077601892,0.003602810122460401,0.31962639513902874,0.04173783376776202,2.498297929763794
123,k2_p5_sumSq,200,5,2,sum_squares,0.0,joint,2.0,3.5667728596864254,0.0006485906519736944,0.31766517020167584,0.04025798864832936,2.5813632011413574
123,k2_p10_sumSq,300,10,2,sum_squares,0.0,sequential,0.0,9.174562491448762,0.0582297828346291,nan,nan,0.31374335289001465
123,k2_p10_sumSq,300,10,2,sum_squares,0.0,joint,0.0,9.088200315843459,0.000912650551982202,0.2748995535396128,0.13488448677037704,2.293272018432617
123,k2_p10_sumSq,300,10,2,sum_squares,0.0,joint,0.1,10.673530484029442,0.00018292893807456172,0.2750556436791238,0.13686317599734601,5.574939250946045
