# script: ch04_fair_comparison.py
# seeds: 42, 7, 123, 2024, 5
# arms: sy-full, sy-seed, sy-rand1, sy-rand5, sy-rand500, pp-rand1, pp-default, pp-probe500, adam-dcor2, sqp-dcor2
# replicates: 20 at (100, 6), 8 at (500, 20)
# n_perturb: 500
# n_probes: 500
# n_restarts: 5
# max_iter: 150
# sqp_max_iter: 1000
# sqp_tol: 0.0001
part,seed,model,nonlinearity,noise,n,p,d,arm,seconds,nfev,delta_m,dcor2_u_sum,dcor2_u_mean,dcov_v,angle
grid,42,,cubic,0.5,200,20,1,sqp-dcor2,0.148,1091,0.129438,0.735844,0.735844,0.705509,7.4371
grid,42,,cubic,1.0,200,20,1,sy-full,0.28,822,0.148971,0.583599,0.583599,0.671044,8.5673
grid,42,,cubic,1.0,200,20,1,sy-seed,0.176,822,0.148971,0.583599,0.583599,0.671044,8.5673
grid,42,,cubic,1.0,200,20,1,sy-rand1,0.19,882,0.148682,0.583552,0.583552,0.67104,8.5506
grid,42,,cubic,1.0,200,20,1,sy-rand5,1.089,1023,0.148702,0.583532,0.583532,0.671041,8.5517
grid,42,,cubic,1.0,200,20,1,sy-rand500,0.376,1315,0.149049,0.583556,0.583556,0.67103,8.5718
grid,42,,cubic,1.0,200,20,1,pp-rand1,0.02,-1,0.188565,0.58958,0.58958,0.669165,10.8691
grid,42,,cubic,1.0,200,20,1,pp-default,0.088,-1,0.186055,0.58962,0.58962,0.669178,10.7226
grid,42,,cubic,1.0,200,20,1,pp-probe500,0.14,-1,0.187294,0.589617,0.589617,0.669088,10.7949
grid,42,,cubic,1.0,200,20,1,adam-dcor2,0.142,-1,0.186536,0.58963,0.58963,0.669238,10.7507
grid,42,,cubic,1.0,200,20,1,sqp-dcor2,0.148,1088,0.187234,0.589629,0.589629,0.669248,10.7914
grid,42,,tanh,0.0,200,20,1,sy-full,0.269,754,0.148146,0.929398,0.929398,0.621099,8.5195
grid,42,,tanh,0.0,200,20,1,sy-seed,0.171,754,0.148146,0.929398,0.929398,0.621099,8.5195
grid,42,,tanh,0.0,200,20,1,sy-rand1,0.196,882,0.148128,0.929395,0.929395,0.621099,8.5185
grid,42,,tanh,0.0,200,20,1,sy-rand5,1.046,1112,0.148142,0.929396,0.929396,0.621096,8.5193
grid,42,,tanh,0.0,200,20,1,sy-rand500,0.32,954,0.148148,0.929394,0.929394,0.621095,8.5196
grid,42,,tanh,0.0,200,20,1,pp-rand1,0.021,-1,0.096605,0.936952,0.936952,0.619121,5.5437
grid,42,,tanh,0.0,200,20,1,pp-default,0.099,-1,0.095296,0.936958,0.936958,0.618888,5.4684
grid,42,,tanh,0.0,200,20,1,pp-probe500,0.15,-1,0.097201,0.936958,0.936958,0.619081,5.578
grid,42,,tanh,0.0,200,20,1,adam-dcor2,0.132,-1,0.096137,0.936972,0.936972,0.618984,5.5168
grid,42,,tanh,0.0,200,20,1,sqp-dcor2,0.15,1067,0.096476,0.936971,0.936971,0.619023,5.5363
grid,42,,tanh,0.5,200,20,1,sy-full,0.279,741,0.210024,0.666497,0.666497,0.524826,12.1238
grid,42,,tanh,0.5,200,20,1,sy-seed,0.164,741,0.210024,0.666497,0.666497,0.524826,12.1238
grid,42,,tanh,0.5,200,20,1,sy-rand1,0.204,930,0.210072,0.666498,0.666498,0.524826,12.1265
grid,42,,tanh,0.5,200,20,1,sy-rand5,1.001,1046,0.210016,0.666506,0.666506,0.524828,12.1233
grid,42,,tanh,0.5,200,20,1,sy-rand500,0.31,958,0.210029,0.666506,0.666506,0.524826,12.124
grid,42,,tanh,0.5,200,20,1,pp-rand1,0.021,-1,0.174534,0.671957,0.671957,0.523505,10.0515
grid,42,,tanh,0.5,200,20,1,pp-default,0.097,-1,0.175615,0.671988,0.671988,0.523642,10.1145
grid,42,,tanh,0.5,200,20,1,pp-probe500,0.145,-1,0.175812,0.671988,0.671988,0.523676,10.1259
grid,42,,tanh,0.5,200,20,1,adam-dcor2,0.138,-1,0.175898,0.671993,0.671993,0.523629,10.1309
grid,42,,tanh,0.5,200,20,1,sqp-dcor2,0.156,1150,0.175676,0.671989,0.671989,0.523679,10.118
grid,42,,tanh,1.0,200,20,1,sy-full,0.292,868,0.271009,0.363098,0.363098,0.433712,15.7243
grid,42,,tanh,1.0,200,20,1,sy-seed,0.218,1003,0.270401,0.363118,0.363118,0.43371,15.6882
grid,42,,tanh,1.0,200,20,1,sy-rand1,0.192,902,0.270853,0.363108,0.363108,0.433708,15.715
grid,42,,tanh,1.0,200,20,1,sy-rand5,1.178,1137,0.270644,0.363119,0.363119,0.433713,15.7026
grid,42,,tanh,1.0,200,20,1,sy-rand500,0.372,1306,0.271203,0.363116,0.363116,0.433702,15.7359
grid,42,,tanh,1.0,200,20,1,pp-rand1,0.022,-1,0.250624,0.366399,0.366399,0.432391,14.5145
grid,42,,tanh,1.0,200,20,1,pp-default,0.092,-1,0.250624,0.366399,0.366399,0.432391,14.5145
grid,42,,tanh,1.0,200,20,1,pp-probe500,0.149,-1,0.250624,0.366399,0.366399,0.432391,14.5145
grid,42,,tanh,1.0,200,20,1,adam-dcor2,0.135,-1,0.250128,0.366414,0.366414,0.432486,14.4851
grid,42,,tanh,1.0,200,20,1,sqp-dcor2,0.171,1278,0.254587,0.366342,0.366342,0.432858,14.7491
grid,7,,square,0.0,200,20,1,sy-full,0.302,940,0.101402,0.285188,0.285188,0.335783,5.8199
grid,7,,square,0.0,200,20,1,sy-seed,0.197,940,0.101402,0.285188,0.285188,0.335783,5.8199
grid,7,,square,0.0,200,20,1,sy-rand1,0.236,1128,0.101362,0.285185,0.285185,0.335781,5.8176
grid,7,,square,0.0,200,20,1,sy-rand5,1.044,1192,0.101431,0.285187,0.285187,0.335781,5.8216
grid,7,,square,0.0,200,20,1,sy-rand500,0.31,908,0.936473,0.099667,0.099667,0.202456,69.4675
grid,7,,square,0.0,200,20,1,pp-rand1,0.013,-1,0.942054,0.101033,0.101033,0.201832,70.3993
grid,7,,square,0.0,200,20,1,pp-default,0.098,-1,0.117815,0.286392,0.286392,0.335723,6.766
grid,7,,square,0.0,200,20,1,pp-probe500,0.15,-1,0.121133,0.28636,0.28636,0.335797,6.9575
grid,7,,square,0.0,200,20,1,adam-dcor2,0.138,-1,0.117587,0.286417,0.286417,0.33579,6.7529
grid,7,,square,0.0,200,20,1,sqp-dcor2,0.354,2662,0.116997,0.286416,0.286416,0.335816,6.7188
grid,7,,square,0.5,200,20,1,sy-full,0.294,903,0.165483,0.227789,0.227789,0.32191,9.5253
grid,7,,square,0.5,200,20,1,sy-seed,0.194,903,0.165483,0.227789,0.227789,0.32191,9.5253
grid,7,,square,0.5,200,20,1,sy-rand1,0.262,1213,0.165434,0.22778,0.22778,0.321917,9.5224
grid,7,,square,0.5,200,20,1,sy-rand5,1.378,1270,0.165409,0.227781,0.227781,0.321916,9.521
grid,7,,square,0.5,200,20,1,sy-rand500,0.346,1152,0.165419,0.227784,0.227784,0.321912,9.5216
grid,7,,square,0.5,200,20,1,pp-rand1,0.022,-1,0.202778,0.22931,0.22931,0.321484,11.6995
grid,7,,square,0.5,200,20,1,pp-default,0.109,-1,0.201634,0.229341,0.229341,0.321539,11.6326
grid,7,,square,0.5,200,20,1,pp-probe500,0.152,-1,0.199967,0.22932,0.22932,0.321461,11.5351
grid,7,,square,0.5,200,20,1,adam-dcor2,0.144,-1,0.200682,0.229342,0.229342,0.321512,11.5769
grid,7,,square,0.5,200,20,1,sqp-dcor2,0.35,2600,0.201549,0.229339,0.229339,0.32156,11.6275
grid,7,,square,1.0,200,20,1,sy-full,0.314,985,0.296644,0.160531,0.160531,0.311717,17.2561
grid,7,,square,1.0,200,20,1,sy-seed,0.211,1002,0.296933,0.160541,0.160541,0.311746,17.2735
grid,7,,square,1.0,200,20,1,sy-rand1,0.18,833,0.298678,0.160494,0.160494,0.311703,17.3782
grid,7,,square,1.0,200,20,1,sy-rand5,1.214,1204,0.297021,0.160538,0.160538,0.311743,17.2787
grid,7,,square,1.0,200,20,1,sy-rand500,0.282,856,0.296774,0.160528,0.160528,0.311722,17.2639
grid,7,,square,1.0,200,20,1,pp-rand1,0.022,-1,0.358315,0.161853,0.161853,0.310836,20.9967
grid,7,,square,1.0,200,20,1,pp-default,0.102,-1,0.354803,0.161861,0.161861,0.31086,20.7814
grid,7,,square,1.0,200,20,1,pp-probe500,0.159,-1,0.356833,0.161857,0.161857,0.310814,20.9058
grid,7,,square,1.0,200,20,1,adam-dcor2,0.137,-1,0.357546,0.16186,0.16186,0.310765,20.9495
grid,7,,square,1.0,200,20,1,sqp-dcor2,0.373,2810,0.35192,0.161869,0.161869,0.311054,20.6048
grid,7,,sine,0.0,200,20,1,sy-full,0.326,1023,0.96737,0.104383,0.104383,0.200154,75.3231
grid,7,,sine,0.0,200,20,1,sy-seed,0.25,1181,0.967377,0.104385,0.104385,0.200162,75.3246
grid,7,,sine,0.0,200,20,1,sy-rand1,0.235,1121,0.961434,0.10177,0.10177,0.199392,74.0359
grid,7,,sine,0.0,200,20,1,sy-rand5,1.081,1112,0.96732,0.104385,0.104385,0.200167,75.3118
grid,7,,sine,0.0,200,20,1,sy-rand500,0.328,1069,0.964202,0.101532,0.101532,0.199954,74.6229
grid,7,,sine,0.0,200,20,1,pp-rand1,0.018,-1,0.964363,0.104666,0.104666,0.199338,74.6578
grid,7,,sine,0.0,200,20,1,pp-default,0.087,-1,0.964343,0.104717,0.104717,0.199175,74.6534
grid,7,,sine,0.0,200,20,1,pp-probe500,0.144,-1,0.965391,0.10471,0.10471,0.199233,74.8822
grid,7,,sine,0.0,200,20,1,adam-dcor2,0.126,-1,0.964908,0.104726,0.104726,0.199232,74.7763
grid,7,,sine,0.0,200,20,1,sqp-dcor2,0.384,2892,0.961129,0.10311,0.10311,0.198702,73.9725
grid,7,,sine,0.5,200,20,1,sy-full,0.367,1233,0.970715,0.154679,0.154679,0.23312,76.0996
grid,7,,sine,0.5,200,20,1,sy-seed,0.183,863,0.97079,0.154676,0.154676,0.233046,76.1176
grid,7,,sine,0.5,200,20,1,sy-rand1,0.249,1144,0.970784,0.154682,0.154682,0.233058,76.1162
grid,7,,sine,0.5,200,20,1,sy-rand5,1.106,1348,0.970851,0.154671,0.154671,0.233089,76.1322
grid,7,,sine,0.5,200,20,1,sy-rand500,0.342,1135,0.970359,0.154702,0.154702,0.233096,76.015
grid,7,,sine,0.5,200,20,1,pp-rand1,0.017,-1,0.966332,0.155801,0.155801,0.232332,75.0902
grid,7,,sine,0.5,200,20,1,pp-default,0.093,-1,0.966341,0.155864,0.155864,0.232523,75.0921
grid,7,,sine,0.5,200,20,1,pp-probe500,0.143,-1,0.966396,0.155865,0.155865,0.232274,75.1045
grid,7,,sine,0.5,200,20,1,adam-dcor2,0.132,-1,0.966087,0.155867,0.155867,0.232293,75.0357
grid,7,,sine,0.5,200,20,1,sqp-dcor2,0.29,2166,0.966703,0.155862,0.155862,0.232506,75.1731
grid,7,,sine,1.0,200,20,1,sy-full,0.272,779,0.952285,0.179754,0.179754,0.284466,72.2292
grid,7,,sine,1.0,200,20,1,sy-seed,0.265,1250,0.95226,0.179699,0.179699,0.284426,72.2245
grid,7,,sine,1.0,200,20,1,sy-rand1,0.233,1114,0.952859,0.17975,0.17975,0.284436,72.3373
grid,7,,sine,1.0,200,20,1,sy-rand5,1.112,1159,0.952993,0.179779,0.179779,0.28442,72.3625
grid,7,,sine,1.0,200,20,1,sy-rand500,0.327,1074,0.952579,0.179756,0.179756,0.28445,72.2844
grid,7,,sine,1.0,200,20,1,pp-rand1,0.016,-1,0.944051,0.181599,0.181599,0.283617,70.7434
grid,7,,sine,1.0,200,20,1,pp-default,0.088,-1,0.94305,0.181638,0.181638,0.283273,70.5702
grid,7,,sine,1.0,200,20,1,pp-probe500,0.13,-1,0.943474,0.181629,0.181629,0.283504,70.6435
grid,7,,sine,1.0,200,20,1,adam-dcor2,0.126,-1,0.943567,0.181646,0.181646,0.28333,70.6595
grid,7,,sine,1.0,200,20,1,sqp-dcor2,0.289,2196,0.943673,0.181647,0.181647,0.283455,70.6778
grid,7,,abs,0.0,200,20,1,sy-full,0.345,1097,0.101188,0.304425,0.304425,0.265761,5.8076
grid,7,,abs,0.0,200,20,1,sy-seed,0.242,1097,0.101188,0.304425,0.304425,0.265761,5.8076
grid,7,,abs,0.0,200,20,1,sy-rand1,0.295,1405,0.101218,0.304425,0.304425,0.265761,5.8093
grid,7,,abs,0.0,200,20,1,sy-rand5,1.364,1518,0.101221,0.304426,0.304426,0.265761,5.8095
grid,7,,abs,0.0,200,20,1,sy-rand500,0.405,1430,0.101205,0.304426,0.304426,0.265761,5.8086
grid,7,,abs,0.0,200,20,1,pp-rand1,0.016,-1,0.872484,0.093533,0.093533,0.150175,60.7486
grid,7,,abs,0.0,200,20,1,pp-default,0.095,-1,0.105322,0.305644,0.305644,0.265633,6.0457
grid,7,,abs,0.0,200,20,1,pp-probe500,0.141,-1,0.106427,0.305659,0.305659,0.265651,6.1094
grid,7,,abs,0.0,200,20,1,adam-dcor2,0.144,-1,0.106669,0.305667,0.305667,0.265663,6.1234
grid,7,,abs,0.0,200,20,1,sqp-dcor2,0.533,3945,0.106408,0.305671,0.305671,0.265667,6.1083
