# script: ch06_full_grid.py
# seeds: 0
block,maturity,method,d,spec,cp,mspe,r2,bench,dcor_tr,dcor_te
PCA_ours,2,"DvarSDR(seq,robust)",4,linear,False,4.264568932235528,0.05570045783992528,4.516118818061029,0.16848180237061353,0.11387950779588467
PCA_ours,2,"DvarSDR(seq,robust)",4,linear,True,2.8446721968838604,0.37010687462266445,4.516118818061029,0.16848180237061353,0.11387950779588467
PCA_ours,2,"DvarSDR(seq,robust)",4,poly,False,14.424269091858518,-2.1939525227220438,4.516118818061029,0.16848180237061353,0.11387950779588467
PCA_ours,2,"DvarSDR(seq,robust)",4,poly,True,7.3631269885788555,-0.6304103778518773,4.516118818061029,0.16848180237061353,0.11387950779588467
PCA_ours,2,"DvarSDR(seq,robust)",5,linear,False,4.3136451786253245,0.04483355013290724,4.516118818061029,0.16848180237061353,0.11387950779588467
PCA_ours,2,"DvarSDR(seq,robust)",5,linear,True,2.8849717794191068,0.36118337545030454,4.516118818061029,0.16848180237061353,0.11387950779588467
PCA_ours,2,"DvarSDR(seq,robust)",5,poly,False,14.304813545169083,-2.167501591844914,4.516118818061029,0.16848180237061353,0.11387950779588467
PCA_ours,2,"DvarSDR(seq,robust)",5,poly,True,7.43106290883194,-0.6454533656451551,4.516118818061029,0.16848180237061353,0.11387950779588467
PCA_ours,2,"DvarSDR(seq,robust)",6,linear,False,4.239997003329946,0.061141397260587316,4.516118818061029,0.16848180237061353,0.11387950779588467
PCA_ours,2,"DvarSDR(seq,robust)",6,linear,True,2.673278601247842,0.4080583994918895,4.516118818061029,0.16848180237061353,0.11387950779588467
PCA_ours,2,"DvarSDR(seq,robust)",6,poly,False,10.901229473160212,-1.4138491284958254,4.516118818061029,0.16848180237061353,0.11387950779588467
PCA_ours,2,"DvarSDR(seq,robust)",6,poly,True,5.587756052501657,-0.23729163859792535,4.516118818061029,0.16848180237061353,0.11387950779588467
PCA_ours,2,"DvarSDR(seq,robust)",7,linear,False,4.278775882172309,0.05255462609609152,4.516118818061029,0.16848180237061353,0.11387950779588467
PCA_ours,2,"DvarSDR(seq,robust)",7,linear,True,2.6698126676331486,0.4088258579566296,4.516118818061029,0.16848180237061353,0.11387950779588467
PCA_ours,2,"DvarSDR(seq,robust)",7,poly,False,9.942524722945839,-1.2015640251056565,4.516118818061029,0.16848180237061353,0.11387950779588467
PCA_ours,2,"DvarSDR(seq,robust)",7,poly,True,5.944925001991573,-0.31637922771571225,4.516118818061029,0.16848180237061353,0.11387950779588467
PCA_ours,2,"DvarSDR(seq,robust)",8,linear,False,3.9737527192824005,0.12009562206591606,4.516118818061029,0.16848180237061353,0.11387950779588467
PCA_ours,2,"DvarSDR(seq,robust)",8,linear,True,2.789222388651223,0.38238507421539447,4.516118818061029,0.16848180237061353,0.11387950779588467
PCA_ours,2,"DvarSDR(seq,robust)",8,poly,False,9.089191948506869,-1.0126113405513242,4.516118818061029,0.16848180237061353,0.11387950779588467
PCA_ours,2,"DvarSDR(seq,robust)",8,poly,True,6.226437085077723,-0.3787141870972761,4.516118818061029,0.16848180237061353,0.11387950779588467
PCA_ours,2,"DvarSDR(joi,plain)",1,linear,False,4.639297889526931,-0.027275427513837602,4.516118818061029,0.38658369503968315,0.15994086702078872
PCA_ours,2,"DvarSDR(joi,plain)",1,linear,True,2.7136340247156574,0.39912253551363797,4.516118818061029,0.38658369503968315,0.15994086702078872
PCA_ours,2,"DvarSDR(joi,plain)",1,poly,False,4.415688304978493,0.02223823533625613,4.516118818061029,0.38658369503968315,0.15994086702078872
PCA_ours,2,"DvarSDR(joi,plain)",1,poly,True,2.54966264575731,0.43543056582997663,4.516118818061029,0.38658369503968315,0.15994086702078872
PCA_ours,2,"DvarSDR(joi,plain)",2,linear,False,4.79845017179738,-0.06251636972154961,4.516118818061029,0.38658369503968026,0.1599408670207899
PCA_ours,2,"DvarSDR(joi,plain)",2,linear,True,2.8243256146170737,0.3746121994572139,4.516118818061029,0.38658369503968026,0.1599408670207899
