# script: ch06_outlier_recovery.py
# seeds: 42, 7, 123
# K: 3
# budget: {'plain': {'n_starts': 20, 'max_iter': 300}, 'robust': {'n_starts': 8, 'max_iter': 80}}
method,basis,strategy,seed,direction,criterion,z_sep2001,z_oct2001,rank_sep2001,rank_oct2001,worse_rank,pair_isolated,sep_margin,dvar,dvar_biloop,top5_months,detail
MCD-PCA,scaled,-,42,3,4.628310405463322,-0.7483010501085533,3.0755864474622516,218,12,218,False,0.1777178481020297,1.7049809825566482,3.1169792108781103,1970-12 1973-08 1973-12 1982-02 1979-04,-0.088 -0.792 +0.135 -0.491 +0.226 -0.084 -0.016 +0.218
MCD distance,scaled,-,42,0,17.534546139484647,15.45301738755949,27.9764726403053,2,1,2,True,1.3113052934214855,,,2001-10 2001-09 1980-05 1980-04 1980-03,flagged at chi2_0.975: 116 of 480 months
dVar-PP,scaled,sequential,42,1,2.7400329904742717,-1.8716815975104988,-1.7388873464207735,47,57,57,False,0.29939328836900425,2.7400329904742717,3.1252423291796827,1974-12 1980-05 1980-04 1974-11 1975-02,-0.995 -0.014 +0.048 +0.052 +0.039 +0.031 +0.033 -0.027
dVar-PP,scaled,sequential,42,2,1.8097842950351146,-0.588228554415596,-2.0060531836930835,270,48,270,False,0.13084192806349315,1.8098190786264041,3.1586493967282077,1980-03 1973-12 1974-07 1970-12 1980-12,+0.010 +0.953 +0.070 +0.219 -0.029 +0.124 +0.097 -0.119
dVar-PP,scaled,sequential,42,3,1.5892063081937366,-2.3122482639251047,0.7019630823234511,10,230,230,False,0.1554025441424512,1.5890098893189293,3.3857172610839608,1982-02 1966-10 1978-01 1970-10 1991-06,+0.024 +0.063 +0.362 -0.624 +0.561 +0.345 +0.195 -0.053
dVar-PP,scaled,joint,42,1,2.2769531073741973,-1.898590960811055,-2.339041717414732,33,16,33,False,0.40216654494529175,2.2769531073741973,3.253354124754796,1980-05 1975-02 1975-01 1982-08 1974-12,-0.602 +0.735 +0.190 +0.124 +0.146 +0.043 -0.012 -0.148
dVar-PP,scaled,joint,42,2,2.109756141096213,-2.7491256222879463,1.698574460162887,12,58,58,False,0.3281163036268999,2.109756141096213,3.1816843985570142,1974-12 1980-05 1980-04 1974-11 1973-08,-0.561 -0.562 +0.447 -0.325 +0.167 +0.141 +0.125 -0.011
dVar-PP,scaled,joint,42,3,2.0673689775268316,-0.9557582235716416,3.3865716328728013,176,9,176,False,0.16378568280628955,2.0673689775268316,3.0289864734037875,1980-04 1974-12 1975-02 1974-11 1975-01,+0.559 +0.258 +0.632 -0.321 +0.293 +0.127 +0.028 -0.125
dVar-PP (biloop),scaled,sequential,42,1,3.454039787506468,-1.5724157057376866,-2.3156412379776694,49,13,49,False,0.38142773878817837,1.506469689980312,3.454039787506468,1980-05 1980-04 1973-09 1986-02 1966-10,-0.149 +0.122 -0.110 -0.511 +0.112 +0.634 +0.431 -0.300
dVar-PP (biloop),scaled,sequential,42,2,3.3803854834278066,1.7519522745382679,3.875678053020748,58,3,58,False,0.38379881841326713,1.9146784890868294,3.2573009041293566,1974-12 1982-01 2001-10 1975-01 1970-10,+0.491 -0.254 -0.243 -0.252 -0.634 -0.383 -0.087 +0.123
dVar-PP (biloop),scaled,sequential,42,3,3.3306982837347565,0.709495752767847,3.0710923457505985,228,6,228,False,0.16935535846099697,1.5728798152568821,3.2366935122659997,1974-12 1970-10 1982-02 1964-11 2003-04,+0.216 +0.016 +0.066 +0.550 -0.754 -0.261 -0.059 -0.078
dVar-PP (biloop),scaled,joint,42,1,3.330482198887885,4.001385747656581,-3.5251131339797395,2,7,7,False,0.7235912685838731,1.6478835385128985,3.330482198887885,1973-09 2001-09 1980-04 2001-11 1975-06,+0.045 -0.648 -0.559 -0.346 +0.067 -0.046 -0.293 +0.232
dVar-PP (biloop),scaled,joint,42,2,3.3092792937309032,-1.8454539996660755,8.100218563503226,46,1,46,False,0.48554104137395826,1.4454754162369272,3.3092792937309032,2001-10 1980-05 1973-09 2003-04 1980-06,+0.153 -0.297 +0.263 +0.373 -0.110 -0.797 -0.182 -0.024
dVar-PP (biloop),scaled,joint,42,3,3.300638681079516,3.4456529017313935,-1.7679476441831636,11,66,66,False,0.2844660556889732,2.1142555620112384,3.300638681079516,1974-12 1982-01 1975-02 1974-11 1975-03,+0.655 +0.234 +0.000 -0.230 -0.477 +0.101 -0.430 -0.202
PCA,scaled,-,7,1,23.116725381981603,1.7863249217813832,1.9569174664961912,55,45,55,False,0.29148153910254,2.7313280520667433,3.166607563998934,1980-05 1974-12 1980-04 1974-11 1975-02,+1.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
PCA,scaled,-,7,2,9.400195252574871,-0.24207687570767578,-2.2911293555819707,386,41,386,False,0.03964712480456157,1.756063151391775,3.0600261503546844,1980-03 1974-07 1973-08 1980-12 1981-05,+0.000 +1.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
PCA,scaled,-,7,3,7.272958111514728,-4.28646483574973,7.076354013436696,6,3,6,False,0.4998726625248841,1.3962136722592944,3.1158370964178217,1973-08 1973-09 2001-10 2003-04 1986-05,+0.000 +0.000 +1.000 +0.000 +0.000 +0.000 +0.000 +0.000
MCD-PCA,scaled,-,7,1,11.930975588040278,-2.0412858499774087,-1.7920102524454242,44,54,54,False,0.3049291030253844,2.7203293438944836,3.1901604243381576,1974-12 1980-05 1975-02 1975-01 1974-11,-0.981 +0.111 +0.098 +0.069 +0.093 -0.032 -0.015 -0.032
MCD-PCA,scaled,-,7,2,5.336025278596353,-1.9634312754743102,-1.6407994089112752,25,68,68,False,0.4623893704065374,1.5470917949912688,3.4124384058147648,1966-10 1966-11 1966-12 1966-07 2003-05,+0.071 +0.308 +0.233 -0.270 +0.521 +0.586 +0.347 -0.193
