# script: ch05_multigroup.py
# seeds: 42, 7, 123, 2024, 5
# n: 400
# k: 2
# n_starts: 20
# max_iter: 300
# index_fun: plain
seed,n_groups,p,sigma,strategy,MSS_dVar,MSS_PCA,MSS_FastICA,pair_dir1,pair_dir2,sep_cos_dir1,sep_cos_dir2,distinct_pairs,restart_spread,elapsed
7,5,50,1.0,sequential,0.2701797127458458,0.2235787240001933,0.22357872400019213,1-4,0-3,0.8021106135738267,0.8643207879700985,True,0.11009715136188936,1.6802480220794678
7,5,50,1.0,joint,0.2963434875940714,0.2235787240001933,0.22357872400019213,2-4,0-3,0.8027741826857978,0.8489508753657025,True,0.0003206940372333378,1.9079339504241943
7,5,50,2.0,sequential,0.06319121385161836,0.037889743526355046,0.03788974352635566,1-4,0-3,0.9490226345990342,0.9624196911709183,True,0.06949980263187605,1.575530767440796
7,5,50,2.0,joint,0.06307709031211434,0.037889743526355046,0.03788974352635566,1-4,0-3,0.9487814380066389,0.962637967692781,True,0.0007953176712476306,1.8579168319702148
7,5,50,4.0,sequential,0.01381149056991543,0.008692560184443088,0.008692560184443754,0-1,1-3,0.9938012053566807,0.9516747580313754,True,0.0009941071381782685,1.6343696117401123
7,5,50,4.0,joint,0.015583513789057646,0.008692560184443088,0.008692560184443754,0-3,1-4,0.9719928722245695,0.9859501420493668,True,0.003102389283117013,1.7342808246612549
123,3,10,1.0,sequential,0.046287309931985654,0.034239787383836706,0.03423978738383682,0-2,0-1,0.9684020606979659,0.8831302130958665,True,0.0005432293404442623,1.8254857063293457
123,3,10,1.0,joint,0.04446454372348274,0.034239787383836706,0.03423978738383682,0-1,0-2,0.8632215756164375,0.9707638258511047,True,0.0007689643263137924,1.716904640197754
123,3,10,2.0,sequential,0.008593479481467936,0.005495811717019794,0.005495811717020238,0-2,0-1,0.9615743737720959,0.9608428895505271,True,0.015640665445314283,2.0483615398406982
123,3,10,2.0,joint,0.009120860319628,0.005495811717019794,0.005495811717020238,1-2,0-2,0.8810518942853995,0.9922282630644745,True,0.0003036102466040802,1.965003252029419
123,3,10,4.0,sequential,0.001280092230475538,0.0011093172980300992,0.001109317298029766,1-2,0-1,0.9444352103648989,0.9815614148858778,True,0.0016553906002516605,1.8664593696594238
123,3,10,4.0,joint,0.0017473809063757173,0.0011093172980300992,0.001109317298029766,1-2,0-2,0.9281900182883501,0.9883706247512436,True,0.0008530029463145183,1.9701168537139893
123,3,50,1.0,sequential,0.3808609466459094,0.21108814954253946,0.21108814954253863,0-1,1-2,0.8292634799845667,0.7021913467067582,True,0.04219712082562388,1.9417569637298584
123,3,50,1.0,joint,0.31325143694058194,0.21108814954253946,0.21108814954253863,0-2,0-1,0.8524713205608913,0.7462074541720108,True,0.02037035369502549,1.9013900756835938
123,3,50,2.0,sequential,0.03975325866098861,0.03211840781814557,0.03211840781814501,0-2,1-2,0.9136810618787023,0.9648217776122131,True,0.0004058957040613542,1.528487205505371
123,3,50,2.0,joint,0.04385220576423493,0.03211840781814557,0.03211840781814501,1-2,0-2,0.8741731653702594,0.977736002261843,True,0.0006361406825106108,1.6724522113800049
123,3,50,4.0,sequential,0.007377310423373695,0.006464214761212117,0.006464214761212228,0-2,1-2,0.9404737827215893,0.978518449608747,True,0.12693070252106065,1.665949821472168
123,3,50,4.0,joint,0.007850679286188378,0.006464214761212117,0.006464214761212228,0-2,1-2,0.9799446388005582,0.9376630077360221,True,0.0023687167027457434,1.6083898544311523
