# script: ch03_sir_initialisation.py
# seeds: 42, 7, 123, 2024, 5, 2026, 17, 99, 777, 31337
# n_restarts: 3
seed,p,nonlinearity,noise,start,angle,dcor2,spread
7,20,cubic,0.0,random,5.499246021991583,0.8004004693561928,5.9914389980986194e-05
7,20,cubic,0.0,sir,5.499246021991583,0.8004004693561928,5.9914389980986194e-05
7,20,cubic,0.5,sir1,16.116324926815082,0.6468213324227904,
7,20,cubic,0.5,random,10.125262930901009,0.6631701685860392,0.00014674391927582686
7,20,cubic,0.5,sir,10.153726755437889,0.6631676493313196,0.00014422466455621397
7,20,cubic,1.0,sir1,27.05826593287238,0.461975496816868,
7,20,cubic,1.0,random,18.03081676006752,0.4950016552555795,0.00011549390478376997
7,20,cubic,1.0,sir,17.98687750969522,0.4950058991082965,5.0091435806809415e-05
7,20,cubic,2.0,sir1,33.912699429466365,0.2984597894033596,
7,20,cubic,2.0,random,31.610489293653266,0.30798658516876437,0.0001225035109885253
7,20,cubic,2.0,sir,31.671913204841108,0.30799849393288303,0.00013441227510718745
7,20,tanh,0.0,sir1,6.1889481760259555,0.9271712086617886,
7,20,tanh,0.0,random,4.283474881030936,0.9532380045462054,0.00012485126985173345
7,20,tanh,0.0,sir,4.236830556042657,0.953261833778496,0.00014868050214233985
7,20,tanh,0.5,sir1,19.805160162032855,0.7173003235486397,
7,20,tanh,0.5,random,15.693669740780505,0.7322707957149709,9.810112606301047e-05
7,20,tanh,0.5,sir,15.806744533150422,0.732284642395587,3.778174695068248e-05
7,20,tanh,1.0,sir1,36.00375908000755,0.37529180007411556,
7,20,tanh,1.0,random,26.943172392923266,0.3975870859248535,5.059544533370097e-05
7,20,tanh,1.0,sir,26.897057246507128,0.39757149392263574,4.8557907905311115e-05
7,20,tanh,2.0,sir1,56.41813308111849,0.16647501090713884,
7,20,tanh,2.0,random,56.42290184379111,0.19303958135570098,0.004037815051709942
7,20,tanh,2.0,sir,56.31354030371876,0.19289940135785263,0.0038976350538615923
123,5,square,0.0,sir1,65.5886158984878,0.0,
123,5,square,0.0,random,2.204975375580753,0.29786383280317646,0.28648374841109076
123,5,square,0.0,sir,2.204975375580753,0.29786383280317646,1.219079567443826e-05
123,5,square,0.5,sir1,82.56882667177155,0.004996246670616479,
123,5,square,0.5,random,3.532306371365188,0.2403779569393772,0.0003028333564772945
123,5,square,0.5,sir,3.5292408040504513,0.24037604598366472,0.21914045910997182
123,5,square,1.0,sir1,79.4272699192171,0.02284506608145186,
123,5,square,1.0,random,4.956365508861936,0.16641342416380395,5.369282610667714e-05
123,5,square,1.0,sir,4.956365508861936,0.16641342416380395,0.14151811927931252
123,5,square,2.0,sir1,57.34683866393356,0.033580251455529876,
123,5,square,2.0,random,12.998316274580416,0.07585717173777377,6.559601848171726e-05
123,5,square,2.0,sir,13.352020850860194,0.07599208816215736,0.0002005124428652999
123,5,sine,0.0,sir1,41.93505639881471,0.059066525510039714,
123,5,sine,0.0,random,46.28235130281333,0.06928592662690512,7.863156915993708e-05
123,5,sine,0.0,sir,46.28235130281333,0.06928592662690512,7.863156915993708e-05
123,5,sine,0.5,sir1,60.36792187837896,0.029427975139551452,
123,5,sine,0.5,random,70.26904685857681,0.040763452516723246,0.035234278672501125
