# script: ch04_shengyin_2016_design.py
# seeds: 20260813
# replicates: accuracy block: 100 at n=100, 25 at n=500; scaling block: 5 at each p
# n_perturb: 500
# n_restarts: 5
# max_iter: 150
# scaling_block: model A part 1, n=500, p in {6, 20, 50, 100}
# methods: dCor-PP (this thesis), Sheng-Yin (SQP), SIR, OLS
# design_source: wu2021mm pp.12-13, restating Sheng & Yin (2016)
block,model,part,n,p,d,rep,method,angle,delta_m,dcor2_u,seconds
accuracy,A,1,100,6,2,49,dCor-PP (this thesis),9.2004,0.202996,0.353178,0.066
accuracy,A,1,100,6,2,49,Sheng-Yin (SQP),8.3008,0.222368,0.276572,0.076
accuracy,A,1,100,6,2,49,SIR,35.8351,0.919403,0.183123,0.0
accuracy,A,1,100,6,2,49,OLS,14.1402,,0.364326,0.001
accuracy,A,1,100,6,2,50,dCor-PP (this thesis),11.0701,0.303083,0.338582,0.072
accuracy,A,1,100,6,2,50,Sheng-Yin (SQP),6.014,0.182981,0.316804,0.079
accuracy,A,1,100,6,2,50,SIR,38.4247,0.94824,0.256269,0.0
accuracy,A,1,100,6,2,50,OLS,24.4389,,0.500479,0.0
accuracy,A,1,100,6,2,51,dCor-PP (this thesis),9.4502,0.194653,0.394828,0.061
accuracy,A,1,100,6,2,51,Sheng-Yin (SQP),50.4322,0.998514,0.281019,0.082
accuracy,A,1,100,6,2,51,SIR,47.143,0.992036,0.301403,0.001
accuracy,A,1,100,6,2,51,OLS,13.8801,,0.572675,0.0
accuracy,A,1,100,6,2,52,dCor-PP (this thesis),11.2389,0.269658,0.290906,0.062
accuracy,A,1,100,6,2,52,Sheng-Yin (SQP),10.565,0.207345,0.258564,0.065
accuracy,A,1,100,6,2,52,SIR,48.5794,0.998641,0.181255,0.0
accuracy,A,1,100,6,2,52,OLS,23.1791,,0.313019,0.0
accuracy,A,1,100,6,2,53,dCor-PP (this thesis),8.5811,0.235848,0.33263,0.072
accuracy,A,1,100,6,2,53,Sheng-Yin (SQP),5.9178,0.162415,0.314116,0.08
accuracy,A,1,100,6,2,53,SIR,26.4669,0.655317,0.248053,0.001
accuracy,A,1,100,6,2,53,OLS,16.4384,,0.397695,0.0
accuracy,A,1,100,6,2,54,dCor-PP (this thesis),11.5336,0.240896,0.328676,0.063
accuracy,A,1,100,6,2,54,Sheng-Yin (SQP),7.4858,0.167336,0.30568,0.069
accuracy,A,1,100,6,2,54,SIR,32.4521,0.859971,0.245932,0.0
accuracy,A,1,100,6,2,54,OLS,14.5235,,0.506248,0.0
accuracy,A,1,100,6,2,55,dCor-PP (this thesis),15.9331,0.4684,0.50805,0.061
accuracy,A,1,100,6,2,55,Sheng-Yin (SQP),9.1123,0.233166,0.34352,0.066
accuracy,A,1,100,6,2,55,SIR,34.2353,0.774821,0.339103,0.0
accuracy,A,1,100,6,2,55,OLS,12.9774,,0.676937,0.0
accuracy,A,1,100,6,2,56,dCor-PP (this thesis),8.2436,0.177522,0.263769,0.078
accuracy,A,1,100,6,2,56,Sheng-Yin (SQP),6.0543,0.121603,0.244651,0.073
accuracy,A,1,100,6,2,56,SIR,50.3349,0.999999,0.180757,0.0
accuracy,A,1,100,6,2,56,OLS,13.7416,,0.35504,0.0
accuracy,A,1,100,6,2,57,dCor-PP (this thesis),18.0953,0.349857,0.283251,0.06
accuracy,A,1,100,6,2,57,Sheng-Yin (SQP),15.0118,0.327332,0.262596,0.064
accuracy,A,1,100,6,2,57,SIR,32.7402,0.718055,0.208448,0.001
accuracy,A,1,100,6,2,57,OLS,19.9769,,0.39156,0.0
accuracy,A,1,100,6,2,58,dCor-PP (this thesis),8.778,0.192166,0.329694,0.066
accuracy,A,1,100,6,2,58,Sheng-Yin (SQP),6.9347,0.174725,0.307936,0.075
accuracy,A,1,100,6,2,58,SIR,41.6508,0.964179,0.238436,0.0
accuracy,A,1,100,6,2,58,OLS,12.2957,,0.467182,0.0
accuracy,A,1,100,6,2,59,dCor-PP (this thesis),10.5419,0.248495,0.350167,0.058
accuracy,A,1,100,6,2,59,Sheng-Yin (SQP),8.0697,0.200512,0.331855,0.063
accuracy,A,1,100,6,2,59,SIR,44.734,0.997673,0.2795,0.0
accuracy,A,1,100,6,2,59,OLS,22.7777,,0.51889,0.0
accuracy,A,1,100,6,2,60,dCor-PP (this thesis),10.4805,0.302189,0.334103,0.063
accuracy,A,1,100,6,2,60,Sheng-Yin (SQP),8.0985,0.230975,0.274079,0.062
accuracy,A,1,100,6,2,60,SIR,41.106,0.971774,0.244456,0.0
